ZCTA5CE10,year,n_killed
32003,2017,0
32008,2017,0
32009,2017,0
32011,2017,3
32024,2017,0
32025,2017,0
32034,2017,1
32038,2017,1
32040,2017,3
32043,2017,0
32046,2017,0
32054,2017,1
32055,2017,3
32059,2017,0
32060,2017,0
32063,2017,0
32065,2017,2
32068,2017,0
32073,2017,1
32080,2017,1
32081,2017,0
32082,2017,0
32084,2017,3
32086,2017,2
32091,2017,0
32092,2017,1
32094,2017,0
32095,2017,0
32102,2017,1
32110,2017,1
32112,2017,1
32113,2017,0
32114,2017,5
32117,2017,1
32118,2017,2
32119,2017,0
32124,2017,0
32127,2017,0
32128,2017,1
32129,2017,0
32130,2017,0
32131,2017,0
32136,2017,1
32137,2017,4
32141,2017,1
32145,2017,0
32148,2017,1
32159,2017,1
32162,2017,0
32164,2017,3
32168,2017,1
32174,2017,0
32176,2017,0
32177,2017,2
32179,2017,0
32180,2017,0
32187,2017,1
32195,2017,5
32202,2017,1
32204,2017,3
32205,2017,4
32206,2017,8
32207,2017,2
32208,2017,5
32209,2017,22
32210,2017,15
32211,2017,4
32216,2017,1
32217,2017,0
32218,2017,7
32219,2017,1
32220,2017,1
32221,2017,3
32222,2017,0
32223,2017,1
32224,2017,1
32225,2017,1
32226,2017,0
32233,2017,0
32234,2017,0
32244,2017,4
32246,2017,9
32250,2017,1
32254,2017,10
32256,2017,1
32257,2017,0
32258,2017,1
32259,2017,0
32266,2017,1
32277,2017,1
32301,2017,4
32303,2017,2
32304,2017,6
32305,2017,0
32308,2017,0
32309,2017,1
32310,2017,4
32311,2017,0
32312,2017,1
32320,2017,0
32321,2017,0
32322,2017,0
32324,2017,1
32327,2017,0
32328,2017,0
32331,2017,0
32333,2017,0
32340,2017,0
32347,2017,0
32348,2017,1
32351,2017,1
32352,2017,0
32401,2017,4
32404,2017,0
32405,2017,1
32407,2017,2
32408,2017,0
32409,2017,0
32413,2017,2
32423,2017,3
32424,2017,0
32425,2017,0
32428,2017,0
32431,2017,1
32433,2017,0
32435,2017,1
32437,2017,0
32438,2017,1
32439,2017,0
32442,2017,0
32443,2017,0
32444,2017,0
32446,2017,3
32448,2017,3
32459,2017,0
32460,2017,0
32462,2017,0
32464,2017,0
32465,2017,0
32466,2017,0
32501,2017,1
32503,2017,2
32504,2017,0
32505,2017,5
32506,2017,2
32507,2017,2
32514,2017,1
32526,2017,3
