ZCTA5CE10,year,n_killed
32025,2018,0
32034,2018,1
32040,2018,0
32046,2018,0
32055,2018,0
32060,2018,0
32063,2018,1
32068,2018,0
32080,2018,0
32084,2018,1
32092,2018,1
32097,2018,0
32110,2018,1
32114,2018,2
32117,2018,0
32118,2018,0
32119,2018,0
32127,2018,0
32131,2018,1
32134,2018,0
32137,2018,0
32141,2018,1
32148,2018,1
32164,2018,1
32168,2018,1
32179,2018,0
32204,2018,1
32205,2018,1
32206,2018,1
32207,2018,0
32208,2018,0
32209,2018,4
32210,2018,2
32211,2018,1
32216,2018,1
32218,2018,4
32220,2018,1
32221,2018,1
32222,2018,0
32224,2018,0
32225,2018,1
32244,2018,1
32246,2018,1
32250,2018,0
32254,2018,2
32257,2018,0
32259,2018,0
32266,2018,0
32277,2018,0
32301,2018,0
32303,2018,0
32304,2018,2
32305,2018,0
32308,2018,0
32310,2018,0
32312,2018,0
32320,2018,0
32327,2018,0
32331,2018,0
32340,2018,1
32344,2018,1
32347,2018,1
32401,2018,0
32405,2018,0
32407,2018,0
32410,2018,0
32413,2018,0
32424,2018,1
32433,2018,0
32446,2018,1
32448,2018,1
32459,2018,0
32462,2018,0
32501,2018,1
32504,2018,0
32505,2018,0
32506,2018,2
32507,2018,0
32514,2018,0
32526,2018,0
32531,2018,2
32533,2018,0
32534,2018,0
32535,2018,0
32536,2018,0
32539,2018,0
32547,2018,0
32548,2018,0
32563,2018,1
32569,2018,0
32571,2018,2
32578,2018,0
32601,2018,0
32603,2018,0
32606,2018,0
32607,2018,0
32608,2018,2
32609,2018,0
32615,2018,1
32626,2018,0
32641,2018,0
32669,2018,0
32686,2018,0
32696,2018,0
32701,2018,0
32703,2018,1
32707,2018,1
32708,2018,1
32712,2018,0
32714,2018,0
32720,2018,0
32724,2018,0
32725,2018,0
32726,2018,1
32730,2018,1
32738,2018,1
32746,2018,0
32750,2018,0
32757,2018,0
32759,2018,1
32771,2018,0
32773,2018,1
32778,2018,1
32779,2018,0
32780,2018,1
32796,2018,1
32801,2018,1
32804,2018,0
32805,2018,7
32806,2018,2
32808,2018,2
32810,2018,0
32812,2018,0
32817,2018,1
32818,2018,1
32820,2018,0
32822,2018,1
32824,2018,0
32826,2018,1
32827,2018,1
32828,2018,1
32832,2018,0
32835,2018,2
32837,2018,1
32839,2018,1
32901,2018,0
32905,2018,0
32907,2018,0
32909,2018,0
32922,2018,0
32926,2018,0
32931,2018,2
32934,2018,0
32935,2018,0
32953,2018,0
32955,2018,1
32960,2018,0
32962,2018,0
32966,2018,2
32967,2018,2
32968,2018,0
33010,2018,1
33012,2018,0
33016,2018,0
33021,2018,0
33023,2018,0
33025,2018,0
33026,2018,0
33030,2018,1
33032,2018,1
33034,2018,1
33037,2018,0
33040,2018,0
33043,2018,2
33054,2018,0
33055,2018,0
33056,2018,1
33060,2018,1
33064,2018,0
33073,2018,0
33076,2018,17
33125,2018,1
33127,2018,2
33128,2018,1
33131,2018,1
33132,2018,1
33133,2018,0
33134,2018,1
33135,2018,1
33136,2018,1
33138,2018,1
33139,2018,2
33142,2018,1
33143,2018,1
33147,2018,4
33150,2018,0
33155,2018,0
33161,2018,0
33162,2018,0
33167,2018,0
33170,2018,0
33172,2018,0
33173,2018,1
33177,2018,1
33181,2018,0
33184,2018,0
33301,2018,1
33304,2018,1
33309,2018,1
33311,2018,4
33312,2018,0
33313,2018,1
33317,2018,0
33319,2018,1
33321,2018,1
33323,2018,1
33334,2018,0
33401,2018,1
33403,2018,0
33404,2018,2
33405,2018,1
33406,2018,0
33407,2018,2
33409,2018,3
33411,2018,1
33413,2018,0
33414,2018,0
33415,2018,0
33417,2018,0
33418,2018,1
33426,2018,0
33430,2018,0
33431,2018,0
33432,2018,0
33435,2018,1
33436,2018,0
33440,2018,0
33441,2018,1
33442,2018,2
33444,2018,4
33460,2018,0
33462,2018,0
33463,2018,0
33467,2018,3
33476,2018,1
33480,2018,0
33484,2018,0
33525,2018,0
33559,2018,0
33563,2018,0
33565,2018,2
33570,2018,2
33572,2018,2
33578,2018,0
33579,2018,1
33597,2018,0
33598,2018,0
33602,2018,1
33605,2018,0
33606,2018,0
33607,2018,0
33609,2018,0
33610,2018,2
33612,2018,1
33614,2018,0
33619,2018,1
33620,2018,0
33624,2018,1
33704,2018,0
33705,2018,1
33713,2018,0
33756,2018,0
33759,2018,1
33760,2018,0
33770,2018,1
33771,2018,0
33781,2018,0
33801,2018,1
33803,2018,0
33805,2018,0
33825,2018,0
33830,2018,0
33841,2018,1
33844,2018,1
33859,2018,1
33868,2018,2
33880,2018,0
33901,2018,1
33904,2018,0
33905,2018,1
33907,2018,0
33908,2018,0
33909,2018,0
33912,2018,1
33913,2018,0
33914,2018,0
33916,2018,1
33917,2018,0
33919,2018,0
33922,2018,0
33931,2018,0
33935,2018,0
33936,2018,0
33948,2018,0
33950,2018,0
33952,2018,0
33967,2018,1
33971,2018,1
33976,2018,0
33982,2018,0
33990,2018,0
33991,2018,0
34104,2018,0
34112,2018,0
34114,2018,0
34116,2018,0
34117,2018,0
34119,2018,0
34135,2018,0
34201,2018,0
34203,2018,0
34205,2018,0
34207,2018,2
34208,2018,0
34212,2018,0
34219,2018,0
34221,2018,2
34222,2018,0
34233,2018,0
34234,2018,2
34236,2018,0
34241,2018,0
34243,2018,0
34251,2018,1
34287,2018,1
34288,2018,0
34432,2018,1
34442,2018,1
34446,2018,2
34448,2018,0
34470,2018,1
34471,2018,0
34472,2018,4
34473,2018,0
34474,2018,0
34475,2018,3
34480,2018,2
34482,2018,0
34488,2018,0
34491,2018,0
34601,2018,2
34602,2018,2
34606,2018,0
34608,2018,0
34609,2018,0
34652,2018,0
34655,2018,0
34667,2018,0
34668,2018,1
34688,2018,0
34689,2018,0
34691,2018,1
34705,2018,1
34711,2018,0
34741,2018,2
34743,2018,1
34744,2018,0
34746,2018,2
34748,2018,0
34758,2018,0
34761,2018,0
34785,2018,0
34787,2018,0
34945,2018,1
34946,2018,1
34947,2018,0
34950,2018,0
34951,2018,0
34953,2018,2
34974,2018,0
34981,2018,0
34987,2018,0
34994,2018,0
